team,avg_gf,avg_ga,avg_gd,win_rate,draw_rate,loss_rate,pct_high_scoring,n_matches,possession,corners,fouls,attempts,on_target,cluster,cluster_label
Afghanistan,0.763,1.737,-0.974,0.184,0.316,0.5,0.421,38,,,,,,2,equilibrado medio
Albania,1.096,1.12,-0.024,0.386,0.205,0.41,0.373,83,,,,,,2,equilibrado medio
Algeria,2.128,0.771,1.358,0.651,0.229,0.119,0.514,109,,,,,,1,elite ofensivo
Andorra,0.42,1.753,-1.333,0.111,0.235,0.654,0.395,81,,,,,,0,defensivo / debil
Angola,1.128,0.859,0.269,0.372,0.372,0.256,0.333,78,,,,,,2,equilibrado medio
Anguilla,0.5,3.6,-3.1,0.1,0.15,0.75,0.675,40,,,,,,3,defensivo / debil
Antigua and Barbuda,1.114,2.386,-1.273,0.273,0.136,0.591,0.659,44,,,,,,3,defensivo / debil
Argentina,2.04,0.634,1.406,0.693,0.188,0.119,0.465,101,51.142857142857146,5.571428571428571,14.285714285714286,14.857142857142858,6.857142857142857,1,elite ofensivo
Armenia,1.127,2.063,-0.937,0.253,0.215,0.532,0.557,79,,,,,,0,defensivo / debil
Aruba,1.395,2.211,-0.816,0.289,0.132,0.579,0.658,38,,,,,,0,defensivo / debil
Australia,1.888,0.762,1.125,0.588,0.175,0.238,0.5,80,31.25,2.0,13.0,6.25,2.25,1,elite ofensivo
Austria,1.813,1.0,0.813,0.571,0.154,0.275,0.495,91,,,,,,1,elite ofensivo
Azerbaijan,0.916,1.639,-0.723,0.217,0.241,0.542,0.518,83,,,,,,0,defensivo / debil
Bahamas,1.128,3.026,-1.897,0.179,0.154,0.667,0.744,39,,,,,,3,defensivo / debil
Bahrain,1.394,1.073,0.321,0.459,0.193,0.349,0.45,109,,,,,,1,elite ofensivo
Bangladesh,0.829,1.414,-0.586,0.271,0.286,0.443,0.329,70,,,,,,2,equilibrado medio
Barbados,1.259,2.121,-0.862,0.224,0.207,0.569,0.638,58,,,,,,0,defensivo / debil
Belarus,0.988,1.519,-0.531,0.296,0.235,0.469,0.395,81,,,,,,2,equilibrado medio
